"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",7,0.199766081871345,0.0944444444444445,0.150617283950617,"AL","Sheldon",5,9,5,0.199766081871345,0.0944444444444445,0.150617283950617
"2",7,0.220421052631579,0.0388888888888889,0.126984126984127,"AL","Venetia",5,9,5,0.220421052631579,0.0388888888888889,0.126984126984127
"3",7,0.199649122807018,0.0333333333333333,0.155555555555556,"AL","Warwick",5,9,5,0.199649122807018,0.0333333333333333,0.155555555555556
"4",7,0.203368421052632,0.0388888888888889,0.139555555555556,"AL","Park Place",5,9,5,0.203368421052632,0.0388888888888889,0.139555555555556
"5",7,0.203976608187134,0.105555555555556,0.155555555555556,"AL","Columbia",5,9,5,0.203976608187134,0.105555555555556,0.155555555555556
"6",9,0.211228070175439,0.277777777777778,0.156444444444444,"AL","Brookwood",5,9,5,0.211228070175439,0.277777777777778,0.156444444444444
"7",7,0.208350877192982,0.0833333333333333,0.170666666666667,"AL","Jackson Heights",5,9,5,0.208350877192982,0.0833333333333333,0.170666666666667
"8",9,0.225263157894737,0.294444444444444,0.157997557997558,"AL","South Crichton",5,9,5,0.225263157894737,0.294444444444444,0.157997557997558
"9",9,0.226035087719298,0.311111111111111,0.178703703703704,"AL","Fisher",5,9,5,0.226035087719298,0.311111111111111,0.178703703703704
"10",7,0.212795321637427,0.0611111111111111,0.136888888888889,"AL","Rothfield",5,9,5,0.212795321637427,0.0611111111111111,0.136888888888889
"11",7,0.201754385964912,0.105555555555556,0.168444444444444,"AL","Berkleigh",5,9,5,0.201754385964912,0.105555555555556,0.168444444444444
"12",3,0.221029239766082,0.1,0.182222222222222,"AL","Navco",5,9,5,0.221029239766082,0.1,0.182222222222222
"13",2,0.213333333333333,0.0111111111111111,0.172888888888889,"AL","Devonshire",5,9,5,0.213333333333333,0.0111111111111111,0.172888888888889
"14",7,0.181169590643275,0.0777777777777778,0.144702842377261,"AL","Di Grado",5,9,5,0.181169590643275,0.0777777777777778,0.144702842377261
"15",7,0.204397660818713,0.0722222222222222,0.177333333333333,"AL","Scenic Hill",5,9,5,0.204397660818713,0.0722222222222222,0.177333333333333
"16",2,0.213801169590643,0,0.188,"AL","Muddy Creek",5,9,5,0.213801169590643,0,0.188
"17",2,0.192608187134503,0,0.168253968253968,"AL","Dawes",5,9,5,0.192608187134503,0,0.168253968253968
"18",3,0.20306432748538,0.411111111111111,0.185333333333333,"AL","Carlen",5,9,5,0.20306432748538,0.411111111111111,0.185333333333333
"19",2,0.177964912280702,0,0.140096618357488,"AL","Rochon",5,9,5,0.177964912280702,0,0.140096618357488
"20",3,0.20493567251462,0.0166666666666667,0.182222222222222,"AL","Belmeade",5,9,5,0.20493567251462,0.0166666666666667,0.182222222222222
"21",7,0.201847953216374,0.0611111111111111,0.141269841269841,"AL","Rolling Acres",5,9,5,0.201847953216374,0.0611111111111111,0.141269841269841
"22",7,0.226245614035088,0.0833333333333333,0.166666666666667,"AL","Plateau",5,9,5,0.226245614035088,0.0833333333333333,0.166666666666667
"23",7,0.210269005847953,0.0444444444444444,0.178666666666667,"AL","Overlook",5,9,5,0.210269005847953,0.0444444444444444,0.178666666666667
"24",3,0.221754385964912,0.127777777777778,0.186666666666667,"AL","Woodlawn",5,9,5,0.221754385964912,0.127777777777778,0.186666666666667
"25",7,0.212444444444444,0.0111111111111111,0.15959595959596,"AL","Jefferson",5,9,5,0.212444444444444,0.0111111111111111,0.15959595959596
"26",7,0.212304093567251,0.0222222222222222,0.169777777777778,"AL","Melrose",5,9,5,0.212304093567251,0.0222222222222222,0.169777777777778
"27",3,0.225918128654971,0.166666666666667,0.182222222222222,"AL","Neely",5,9,5,0.225918128654971,0.166666666666667,0.182222222222222
"28",4,0.166011695906433,0.305555555555556,0,"AL","College Park",5,9,5,0.166011695906433,0.305555555555556,0
"29",7,0.140163742690058,0.05,0.176444444444444,"AL","Country Club",5,9,5,0.140163742690058,0.05,0.176444444444444
"30",3,0.210923976608187,0.222222222222222,0.183111111111111,"AL","Airmont",5,9,5,0.210923976608187,0.222222222222222,0.183111111111111
"31",3,0.224070175438597,0.1,0.188444444444444,"AL","Maryvale",5,9,5,0.224070175438597,0.1,0.188444444444444
"32",3,0.213988304093567,0.0166666666666667,0.188,"AL","Bellmont",5,9,5,0.213988304093567,0.0166666666666667,0.188
"33",4,0.201730994152047,0.127777777777778,0,"AL","Claremont",5,9,5,0.201730994152047,0.127777777777778,0
"34",7,0.200093567251462,0.0444444444444444,0.157575757575758,"AL","Cottage Park",5,9,5,0.200093567251462,0.0444444444444444,0.157575757575758
"35",9,0.215719298245614,0.288888888888889,0.155555555555556,"AL","Dauphin Acres",5,9,5,0.215719298245614,0.288888888888889,0.155555555555556
"36",3,0.215298245614035,0.155555555555556,0.184888888888889,"AL","Texas Street",5,9,5,0.215298245614035,0.155555555555556,0.184888888888889
"37",3,0.191485380116959,0.133333333333333,0.183555555555556,"AL","Thornhill",5,9,5,0.191485380116959,0.133333333333333,0.183555555555556
"38",9,0.205146198830409,0.377777777777778,0.166666666666667,"AL","Lyons Park",5,9,5,0.205146198830409,0.377777777777778,0.166666666666667
"39",9,0.223812865497076,0.183333333333333,0.180444444444444,"AL","Riviera",5,9,5,0.223812865497076,0.183333333333333,0.180444444444444
"40",3,0.207134502923977,0.0444444444444444,0.182666666666667,"AL","Baker",5,9,5,0.207134502923977,0.0444444444444444,0.182666666666667
"41",7,0.183883040935673,0.0222222222222222,0.186222222222222,"AL","Overton",5,9,5,0.183883040935673,0.0222222222222222,0.186222222222222
"42",7,0.208491228070175,0.0166666666666667,0.140888888888889,"AL","Westfield",5,9,5,0.208491228070175,0.0166666666666667,0.140888888888889
