"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",6,0.528792569659443,0.05,0.0797385620915033,"AL","Sheldon",1,9,9,0.557967332123412,0.0527586206896552,0.0467432950191571
"2",2,0.583467492260062,0.0205882352941177,0.0672268907563025,"AL","Venetia",1,9,9,0.615658802177859,0.0217241379310345,0.0394088669950739
"3",6,0.528482972136223,0.0176470588235294,0.0823529411764706,"AL","Warwick",1,9,9,0.557640653357532,0.0186206896551724,0.0482758620689655
"4",6,0.538328173374613,0.0205882352941177,0.0738823529411765,"AL","Park Place",1,9,9,0.568029038112523,0.0217241379310345,0.0433103448275862
"5",6,0.539938080495356,0.0558823529411765,0.0823529411764706,"AL","Columbia",1,9,9,0.5697277676951,0.0589655172413793,0.0482758620689655
"6",2,0.559133126934985,0.147058823529412,0.0828235294117647,"AL","Brookwood",1,9,9,0.589981851179673,0.155172413793103,0.048551724137931
"7",6,0.551517027863777,0.0441176470588235,0.0903529411764706,"AL","Jackson Heights",1,9,9,0.58194555353902,0.046551724137931,0.0529655172413793
"8",2,0.596284829721362,0.155882352941176,0.0836457659987072,"AL","South Crichton",1,9,9,0.629183303085299,0.16448275862069,0.0490337248957939
"9",2,0.598328173374613,0.164705882352941,0.0946078431372549,"AL","Fisher",1,9,9,0.631339382940109,0.173793103448276,0.0554597701149425
"10",6,0.56328173374613,0.0323529411764706,0.0724705882352941,"AL","Rothfield",1,9,9,0.594359346642468,0.0341379310344828,0.0424827586206897
"11",6,0.53405572755418,0.0558823529411765,0.0891764705882353,"AL","Berkleigh",1,9,9,0.563520871143376,0.0589655172413793,0.0522758620689655
"12",8,0.585077399380805,0.0529411764705882,0.0964705882352941,"AL","Navco",1,9,9,0.617357531760436,0.0558620689655172,0.056551724137931
"13",6,0.564705882352941,0.00588235294117647,0.0915294117647059,"AL","Devonshire",1,9,9,0.595862068965517,0.00620689655172414,0.0536551724137931
"14",6,0.479566563467492,0.0411764705882353,0.0766073871409029,"AL","Di Grado",1,9,9,0.506025408348457,0.043448275862069,0.0449077786688051
"15",6,0.541052631578947,0.0382352941176471,0.0938823529411765,"AL","Scenic Hill",1,9,9,0.570903811252269,0.0403448275862069,0.0550344827586207
"16",4,0.56594427244582,0,0.0995294117647059,"AL","Muddy Creek",1,9,9,0.597168784029038,0,0.0583448275862069
"17",4,0.50984520123839,0,0.0890756302521008,"AL","Dawes",1,9,9,0.537974591651543,0,0.0522167487684729
"18",8,0.537523219814241,0.217647058823529,0.0981176470588235,"AL","Carlen",1,9,9,0.567179673321234,0.229655172413793,0.0575172413793103
"19",4,0.471083591331269,0,0.0741687979539642,"AL","Rochon",1,9,9,0.497074410163339,0,0.0434782608695652
"20",8,0.542476780185759,0.00882352941176471,0.0964705882352941,"AL","Belmeade",1,9,9,0.572406533575318,0.00931034482758621,0.056551724137931
"21",6,0.534303405572755,0.0323529411764706,0.0747899159663866,"AL","Rolling Acres",1,9,9,0.56378221415608,0.0341379310344828,0.0438423645320197
"22",6,0.598885448916409,0.0441176470588235,0.0882352941176471,"AL","Plateau",1,9,9,0.631927404718693,0.046551724137931,0.0517241379310345
"23",6,0.556594427244582,0.0235294117647059,0.0945882352941177,"AL","Overlook",1,9,9,0.587303085299456,0.0248275862068966,0.055448275862069
"24",8,0.586996904024768,0.0676470588235294,0.0988235294117647,"AL","Woodlawn",1,9,9,0.619382940108893,0.0713793103448276,0.0579310344827586
"25",6,0.562352941176471,0.00588235294117647,0.0844919786096257,"AL","Jefferson",1,9,9,0.593379310344828,0.00620689655172414,0.0495297805642633
"26",6,0.561981424148607,0.0117647058823529,0.0898823529411765,"AL","Melrose",1,9,9,0.592987295825771,0.0124137931034483,0.0526896551724138
"27",8,0.598018575851393,0.0882352941176471,0.0964705882352941,"AL","Neely",1,9,9,0.631012704174229,0.0931034482758621,0.056551724137931
"28",9,0.439442724458204,0.161764705882353,0,"AL","College Park",1,9,9,0.463687840290381,0.170689655172414,0
"29",6,0.371021671826625,0.0264705882352941,0.0934117647058824,"AL","Country Club",1,9,9,0.391491833030853,0.0279310344827586,0.0547586206896552
"30",8,0.558328173374613,0.117647058823529,0.0969411764705883,"AL","Airmont",1,9,9,0.589132486388385,0.124137931034483,0.0568275862068966
"31",8,0.59312693498452,0.0529411764705882,0.099764705882353,"AL","Maryvale",1,9,9,0.625851179673321,0.0558620689655172,0.0584827586206897
