"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",3,0.221658255227109,0.104794520547945,0.0928462709284627,"AL","Sheldon",5,5,9,0.221658255227109,0.104794520547945,0.0928462709284627
"2",3,0.24457678442682,0.0431506849315069,0.0782778864970646,"AL","Venetia",5,5,9,0.24457678442682,0.0431506849315069,0.0782778864970646
"3",3,0.221528478731074,0.036986301369863,0.0958904109589041,"AL","Warwick",5,5,9,0.221528478731074,0.036986301369863,0.0958904109589041
"4",3,0.225655371304975,0.0431506849315069,0.086027397260274,"AL","Park Place",5,5,9,0.225655371304975,0.0431506849315069,0.086027397260274
"5",3,0.226330209084355,0.117123287671233,0.0958904109589041,"AL","Columbia",5,5,9,0.226330209084355,0.117123287671233,0.0958904109589041
"6",8,0.2343763518385,0.308219178082192,0.0964383561643836,"AL","Brookwood",5,5,9,0.2343763518385,0.308219178082192,0.0964383561643836
"7",3,0.231183850036049,0.0924657534246575,0.105205479452055,"AL","Jackson Heights",5,5,9,0.231183850036049,0.0924657534246575,0.105205479452055
"8",8,0.249949531362653,0.326712328767123,0.0973957549300015,"AL","South Crichton",5,5,9,0.249949531362653,0.326712328767123,0.0973957549300015
"9",8,0.250806056236482,0.345205479452055,0.110159817351598,"AL","Fisher",5,5,9,0.250806056236482,0.345205479452055,0.110159817351598
"10",3,0.236115356885364,0.0678082191780822,0.0843835616438356,"AL","Rothfield",5,5,9,0.236115356885364,0.0678082191780822,0.0843835616438356
"11",3,0.223864455659697,0.117123287671233,0.103835616438356,"AL","Berkleigh",5,5,9,0.223864455659697,0.117123287671233,0.103835616438356
"12",9,0.2452516222062,0.110958904109589,0.112328767123288,"AL","Navco",5,5,9,0.2452516222062,0.110958904109589,0.112328767123288
"13",3,0.236712328767123,0.0123287671232877,0.106575342465753,"AL","Devonshire",5,5,9,0.236712328767123,0.0123287671232877,0.106575342465753
"14",3,0.201023792357606,0.0863013698630137,0.0892003822873527,"AL","Di Grado",5,5,9,0.201023792357606,0.0863013698630137,0.0892003822873527
"15",3,0.226797404470079,0.0801369863013699,0.109315068493151,"AL","Scenic Hill",5,5,9,0.226797404470079,0.0801369863013699,0.109315068493151
"16",9,0.237231434751262,0,0.115890410958904,"AL","Muddy Creek",5,5,9,0.237231434751262,0,0.115890410958904
"17",3,0.213715933669791,0,0.103718199608611,"AL","Dawes",5,5,9,0.213715933669791,0,0.103718199608611
"18",9,0.225317952415285,0.456164383561644,0.114246575342466,"AL","Carlen",5,5,9,0.225317952415285,0.456164383561644,0.114246575342466
"19",3,0.197467916366258,0,0.0863609291244788,"AL","Rochon",5,5,9,0.197467916366258,0,0.0863609291244788
"20",9,0.227394376351839,0.0184931506849315,0.112328767123288,"AL","Belmeade",5,5,9,0.227394376351839,0.0184931506849315,0.112328767123288
"21",3,0.223968276856525,0.0678082191780822,0.0870841487279843,"AL","Rolling Acres",5,5,9,0.223968276856525,0.0678082191780822,0.0870841487279843
"22",3,0.251039653929344,0.0924657534246575,0.102739726027397,"AL","Plateau",5,5,9,0.251039653929344,0.0924657534246575,0.102739726027397
"23",3,0.233312184571017,0.0493150684931507,0.11013698630137,"AL","Overlook",5,5,9,0.233312184571017,0.0493150684931507,0.11013698630137
"24",9,0.246056236481615,0.141780821917808,0.115068493150685,"AL","Woodlawn",5,5,9,0.246056236481615,0.141780821917808,0.115068493150685
"25",3,0.23572602739726,0.0123287671232877,0.0983810709838107,"AL","Jefferson",5,5,9,0.23572602739726,0.0123287671232877,0.0983810709838107
"26",3,0.235570295602019,0.0246575342465753,0.104657534246575,"AL","Melrose",5,5,9,0.235570295602019,0.0246575342465753,0.104657534246575
"27",9,0.250676279740447,0.184931506849315,0.112328767123288,"AL","Neely",5,5,9,0.250676279740447,0.184931506849315,0.112328767123288
"28",1,0.184204758471521,0.339041095890411,0,"AL","College Park",5,5,9,0.184204758471521,0.339041095890411,0
"29",4,0.155524152847873,0.0554794520547945,0.108767123287671,"AL","Country Club",5,5,9,0.155524152847873,0.0554794520547945,0.108767123287671
"30",9,0.23403893294881,0.246575342465753,0.112876712328767,"AL","Airmont",5,5,9,0.23403893294881,0.246575342465753,0.112876712328767
"31",9,0.2486258111031,0.110958904109589,0.116164383561644,"AL","Maryvale",5,5,9,0.2486258111031,0.110958904109589,0.116164383561644
"32",9,0.237439077144917,0.0184931506849315,0.115890410958904,"AL","Bellmont",5,5,9,0.237439077144917,0.0184931506849315,0.115890410958904
"33",1,0.22383850036049,0.141780821917808,0,"AL","Claremont",5,5,9,0.22383850036049,0.141780821917808,0
"34",3,0.222021629416006,0.0493150684931507,0.0971357409713574,"AL","Cottage Park",5,5,9,0.222021629416006,0.0493150684931507,0.0971357409713574
"35",8,0.239359769286229,0.320547945205479,0.0958904109589041,"AL","Dauphin Acres",5,5,9,0.239359769286229,0.320547945205479,0.0958904109589041
"36",9,0.238892573900505,0.172602739726027,0.113972602739726,"AL","Texas Street",5,5,9,0.238892573900505,0.172602739726027,0.113972602739726
"37",9,0.212470079307859,0.147945205479452,0.113150684931507,"AL","Thornhill",5,5,9,0.212470079307859,0.147945205479452,0.113150684931507
"38",8,0.227627974044701,0.419178082191781,0.102739726027397,"AL","Lyons Park",5,5,9,0.227627974044701,0.419178082191781,0.102739726027397
"39",8,0.248340302811824,0.203424657534247,0.111232876712329,"AL","Riviera",5,5,9,0.248340302811824,0.203424657534247,0.111232876712329
"40",9,0.229834174477289,0.0493150684931507,0.112602739726027,"AL","Baker",5,5,9,0.229834174477289,0.0493150684931507,0.112602739726027
"41",3,0.204034607065609,0.0246575342465753,0.114794520547945,"AL","Overton",5,5,9,0.204034607065609,0.0246575342465753,0.114794520547945
