"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1375",6,0.338610526315789,0.078,0.3456,"FL","Whitfield",1,9,1,0.338610526315789,0.078,0.3456
"1376",6,0.402652631578947,0.08,0.3448,"FL","Phoenix",1,9,1,0.402652631578947,0.08,0.3448
"1377",6,0.360884210526316,0.046,0.3344,"FL","White City",1,9,1,0.360884210526316,0.046,0.3344
"1378",2,0.398694736842105,0.104,0.289183673469388,"FL","Holden Heights",1,9,1,0.398694736842105,0.104,0.289183673469388
"1379",6,0.381852631578947,0.114,0.3352,"FL","Bayou Oaks",1,9,1,0.381852631578947,0.114,0.3352
"1380",2,0.393768421052632,0.148,0.3488,"FL","Arlington",1,9,1,0.393768421052632,0.148,0.3488
"1381",7,0.366821052631579,0.028,0.295110220440882,"FL","Duval",1,9,1,0.366821052631579,0.028,0.295110220440882
"1382",2,0.382231578947368,0.102,0.3144,"FL","Arlington Manor",1,9,1,0.382231578947368,0.102,0.3144
"1383",6,0.340421052631579,0.098,0.3352,"FL","Venetia",1,9,1,0.340421052631579,0.098,0.3352
"1384",1,0.31141052631579,0.002,0.300841683366734,"FL","Mandarin",1,9,1,0.31141052631579,0.002,0.300841683366734
"1385",6,0.392884210526316,0.048,0.3336,"FL","Richmond Heights",1,9,1,0.392884210526316,0.048,0.3336
"1386",2,0.393263157894737,0.068,0.316,"FL","Lakeshore",1,9,1,0.393263157894737,0.068,0.316
"1387",6,0.381389473684211,0.042,0.3456,"FL","Terrace Park",1,9,1,0.381389473684211,0.042,0.3456
"1388",6,0.378231578947368,0.036,0.3416,"FL","Southpoint",1,9,1,0.378231578947368,0.036,0.3416
"1389",4,0.333726315789474,0.124,0,"FL","The Allendale Association",1,9,1,0.333726315789474,0.124,0
"1390",1,0.3744,0.008,0.296,"FL","Marietta",1,9,1,0.3744,0.008,0.296
"1391",8,0.371747368421053,0.116,0.3152,"FL","Edgemoor",1,9,1,0.371747368421053,0.116,0.3152
"1392",1,0.328884210526316,0,0.28968968968969,"FL","Julington Creek",1,9,1,0.328884210526316,0,0.28968968968969
"1393",8,0.351705263157895,0.088,0.30179347826087,"FL","Gulf Gate Estates",1,9,1,0.351705263157895,0.088,0.30179347826087
"1394",8,0.338736842105263,0.12,0.3176,"FL","Greater Woodlawn",1,9,1,0.338736842105263,0.12,0.3176
"1395",8,0.339747368421053,0.11,0.304904904904905,"FL","Dover Estates",1,9,1,0.339747368421053,0.11,0.304904904904905
"1396",1,0.382863157894737,0.008,0.272631578947368,"FL","Osceola Forest",1,9,1,0.382863157894737,0.008,0.272631578947368
"1397",3,0.297852631578947,0.152,0.286111111111111,"FL","North Hyde Park",1,9,1,0.297852631578947,0.152,0.286111111111111
"1398",8,0.375705263157895,0.058,0.273452685421995,"FL","Lake Bentley",1,9,1,0.375705263157895,0.058,0.273452685421995
"1399",8,0.374821052631579,0.064,0.308,"FL","Sans Souci",1,9,1,0.374821052631579,0.064,0.308
"1400",1,0.324631578947368,0.004,0.3392,"FL","Greenland",1,9,1,0.324631578947368,0.004,0.3392
"1401",8,0.365684210526316,0.054,0.301501501501502,"FL","Goodby's Creek",1,9,1,0.365684210526316,0.054,0.301501501501502
"1402",3,0.281389473684211,0.162,0.290198300283286,"FL","Palma Ceia West",1,9,1,0.281389473684211,0.162,0.290198300283286
"1403",2,0.403747368421053,0.13,0.291848450057405,"FL","29th and Chase",1,9,1,0.403747368421053,0.13,0.291848450057405
"1404",2,0.379536842105263,0.114,0.28165725047081,"FL","Lowry Park Central",1,9,1,0.379536842105263,0.114,0.28165725047081
"1405",1,0.364,0,0.255483870967742,"FL","Copper Hill",1,9,1,0.364,0,0.255483870967742
"1406",8,0.331410526315789,0.142,0.32044044044044,"FL","Alameda - West Flagler",1,9,1,0.331410526315789,0.142,0.32044044044044
"1407",8,0.314063157894737,0.116,0.305410821643287,"FL","Lawsona-Fern Creek",1,9,1,0.314063157894737,0.116,0.305410821643287
"1408",6,0.388968421052632,0.082,0.3336,"FL","Hyde Park",1,9,1,0.388968421052632,0.082,0.3336
"1409",3,0.374231578947368,0.164,0.306306306306306,"FL","Northeast Macfarlane",1,9,1,0.374231578947368,0.164,0.306306306306306
"1410",6,0.349094736842105,0.014,0.336,"FL","Jamestown",1,9,1,0.349094736842105,0.014,0.336
"1411",8,0.353305263157895,0.136,0.2944,"FL","Golden Gate",1,9,1,0.353305263157895,0.136,0.2944
"1412",9,0.0765894736842105,0.01,0.281066666666667,"FL","Royal Harbor",1,9,1,0.0765894736842105,0.01,0.281066666666667
"1413",9,0.214905263157895,0.052,0.303954802259887,"FL","Lido Key",1,9,1,0.214905263157895,0.052,0.303954802259887
"1414",4,0.333178947368421,0.158,0,"FL","Downtown",1,9,1,0.333178947368421,0.158,0
"1415",2,0.383873684210526,0.098,0.2896,"FL","Oakwood Gardens",1,9,1,0.383873684210526,0.098,0.2896
"1416",8,0.374231578947368,0.124,0.307787787787788,"FL","Millenia",1,9,1,0.374231578947368,0.124,0.307787787787788
"1417",6,0.322778947368421,0.148,0.3416,"FL","Avondale",1,9,1,0.322778947368421,0.148,0.3416
"1418",6,0.308842105263158,0.09,0.3512,"FL","Emerald Hills",1,9,1,0.308842105263158,0.09,0.3512
"1419",9,0.120421052631579,0.122,0.3448,"FL","Landings",1,9,1,0.120421052631579,0.122,0.3448
"1420",2,0.400631578947368,0.112,0.286481481481482,"FL","Harbordale",1,9,1,0.400631578947368,0.112,0.286481481481482
"1421",6,0.3592,0.034,0.3344,"FL","Union Park",1,9,1,0.3592,0.034,0.3344
"1422",7,0.325894736842105,0.038,0.279115044247788,"FL","Lake Hollingsworth",1,9,1,0.325894736842105,0.038,0.279115044247788
"1423",7,0.298273684210526,0.022,0.287494646680942,"FL","Jungle Prada",1,9,1,0.298273684210526,0.022,0.287494646680942
"1424",2,0.383157894736842,0.044,0.286470588235294,"FL","Roosevelt Estates",1,9,1,0.383157894736842,0.044,0.286470588235294
"1425",1,0.342147368421053,0,0.3488,"FL","The Cape",1,9,1,0.342147368421053,0,0.3488
"1426",3,0.289178947368421,0.192,0.300428571428571,"FL","South Eola",1,9,1,0.289178947368421,0.192,0.300428571428571
"1427",2,0.395410526315789,0.11,0.3272,"FL","Sulphur Springs",1,9,1,0.395410526315789,0.11,0.3272
"1428",8,0.377810526315789,0.088,0.289034482758621,"FL","Old Seminole Heights",1,9,1,0.377810526315789,0.088,0.289034482758621
"1429",6,0.384084210526316,0.082,0.34,"FL","North Kenwood",1,9,1,0.384084210526316,0.082,0.34
"1430",9,0.282610526315789,0.102,0.302072538860104,"FL","Poinsettia Heights",1,9,1,0.282610526315789,0.102,0.302072538860104
"1431",5,0.00821052631578947,0.028,0.312631578947368,"FL","Harbor Beach",1,9,1,0.00821052631578947,0.028,0.312631578947368
"1432",6,0.400505263157895,0.104,0.3344,"FL","Palmetto Park",1,9,1,0.400505263157895,0.104,0.3344
"1433",7,0.4016,0.026,0.321333333333333,"FL","Winston Park",1,9,1,0.4016,0.026,0.321333333333333
"1434",1,0.345221052631579,0.002,0.295358166189112,"FL","South Patrick Shores",1,9,1,0.345221052631579,0.002,0.295358166189112
"1435",6,0.3576,0.104,0.3252,"FL","Lake Pasadena",1,9,1,0.3576,0.104,0.3252
"1436",6,0.275368421052632,0.062,0.3328,"FL","Miramar",1,9,1,0.275368421052632,0.062,0.3328
"1437",1,0.378442105263158,0,0.285858585858586,"FL","Indian River Estates",1,9,1,0.378442105263158,0,0.285858585858586
"1438",8,0.333473684210526,0.12,0.314394394394394,"FL","Riverland Village",1,9,1,0.333473684210526,0.12,0.314394394394394
"1439",8,0.360378947368421,0.088,0.297349397590361,"FL","Gandy-Sun Bay South",1,9,1,0.360378947368421,0.088,0.297349397590361
"1440",9,0.289894736842105,0.132,0.295408970976253,"FL","Shenandoah",1,9,1,0.289894736842105,0.132,0.295408970976253
"1441",6,0.403410526315789,0.066,0.344,"FL","College Gardens",1,9,1,0.403410526315789,0.066,0.344
"1442",8,0.325642105263158,0.134,0.31063829787234,"FL","Audubon Park",1,9,1,0.325642105263158,0.134,0.31063829787234
"1443",1,0.331747368421053,0.006,0.282130177514793,"FL","Golden Glades - The Woods",1,9,1,0.331747368421053,0.006,0.282130177514793
"1444",9,0.295663157894737,0.1,0.282057877813505,"FL","Lake Park",1,9,1,0.295663157894737,0.1,0.282057877813505
"1445",6,0.323747368421053,0.02,0.3312,"FL","Shore Acres",1,9,1,0.323747368421053,0.02,0.3312
"1446",6,0.376547368421053,0.002,0.3368,"FL","Biltmore",1,9,1,0.376547368421053,0.002,0.3368
"1447",6,0.35541052631579,0.06,0.348,"FL","Holly Oaks",1,9,1,0.35541052631579,0.06,0.348
"1448",6,0.388252631578947,0.004,0.3448,"FL","Ventura",1,9,1,0.388252631578947,0.004,0.3448
"1449",6,0.339326315789474,0.13,0.3296,"FL","Sunset",1,9,1,0.339326315789474,0.13,0.3296
"1450",7,0.389052631578947,0.028,0.277647058823529,"FL","Palm Club Village",1,9,1,0.389052631578947,0.028,0.277647058823529
"1451",8,0.345642105263158,0.126,0.297842565597668,"FL","Middle River Terrace",1,9,1,0.345642105263158,0.126,0.297842565597668
"1452",1,0.342610526315789,0.002,0.3456,"FL","East Arlington",1,9,1,0.342610526315789,0.002,0.3456
"1453",2,0.383663157894737,0.094,0.273103448275862,"FL","Lake Lucina",1,9,1,0.383663157894737,0.094,0.273103448275862
"1454",6,0.37061052631579,0.094,0.3424,"FL","Greenfield Manor",1,9,1,0.37061052631579,0.094,0.3424
"1455",3,0.2952,0.156,0.316076076076076,"FL","Coral Way",1,9,1,0.2952,0.156,0.316076076076076
"1456",8,0.3576,0.056,0.304,"FL","Ridge Wood Heights",1,9,1,0.3576,0.056,0.304
"1457",3,0.248252631578947,0.194,0.291993720565149,"FL","Brickell",1,9,1,0.248252631578947,0.194,0.291993720565149
"1458",7,0.362989473684211,0.012,0.268070175438597,"FL","Biscayne Terrace",1,9,1,0.362989473684211,0.012,0.268070175438597
"1459",7,0.340968421052632,0.036,0.287792207792208,"FL","Desoto Lakes",1,9,1,0.340968421052632,0.036,0.287792207792208
"1460",8,0.355368421052632,0.098,0.283368920521945,"FL","Northwood Harbor",1,9,1,0.355368421052632,0.098,0.283368920521945
"1461",9,0.282905263157895,0.114,0.307587587587588,"FL","Central Beach Alliance",1,9,1,0.282905263157895,0.114,0.307587587587588
"1462",7,0.383957894736842,0.014,0.284988235294118,"FL","Baymeadows",1,9,1,0.383957894736842,0.014,0.284988235294118
