"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",5,0.105758513931889,0.05,0.398692810457516,"AL","Sheldon",5,5,1,0.105758513931889,0.05,0.398692810457516
"2",7,0.116693498452012,0.0205882352941177,0.336134453781513,"AL","Venetia",5,5,1,0.116693498452012,0.0205882352941177,0.336134453781513
"3",5,0.105696594427245,0.0176470588235294,0.411764705882353,"AL","Warwick",5,5,1,0.105696594427245,0.0176470588235294,0.411764705882353
"4",5,0.107665634674923,0.0205882352941177,0.369411764705882,"AL","Park Place",5,5,1,0.107665634674923,0.0205882352941177,0.369411764705882
"5",5,0.107987616099071,0.0558823529411765,0.411764705882353,"AL","Columbia",5,5,1,0.107987616099071,0.0558823529411765,0.411764705882353
"6",7,0.111826625386997,0.147058823529412,0.414117647058824,"AL","Brookwood",5,5,1,0.111826625386997,0.147058823529412,0.414117647058824
"7",5,0.110303405572755,0.0441176470588235,0.451764705882353,"AL","Jackson Heights",5,5,1,0.110303405572755,0.0441176470588235,0.451764705882353
"8",7,0.119256965944272,0.155882352941176,0.418228829993536,"AL","South Crichton",5,5,1,0.119256965944272,0.155882352941176,0.418228829993536
"9",7,0.119665634674923,0.164705882352941,0.473039215686274,"AL","Fisher",5,5,1,0.119665634674923,0.164705882352941,0.473039215686274
"10",5,0.112656346749226,0.0323529411764706,0.362352941176471,"AL","Rothfield",5,5,1,0.112656346749226,0.0323529411764706,0.362352941176471
"11",5,0.106811145510836,0.0558823529411765,0.445882352941177,"AL","Berkleigh",5,5,1,0.106811145510836,0.0558823529411765,0.445882352941177
"12",4,0.117015479876161,0.0529411764705882,0.482352941176471,"AL","Navco",5,5,1,0.117015479876161,0.0529411764705882,0.482352941176471
"13",5,0.112941176470588,0.00588235294117647,0.457647058823529,"AL","Devonshire",5,5,1,0.112941176470588,0.00588235294117647,0.457647058823529
"14",5,0.0959133126934984,0.0411764705882353,0.383036935704514,"AL","Di Grado",5,5,1,0.0959133126934984,0.0411764705882353,0.383036935704514
"15",5,0.108210526315789,0.0382352941176471,0.469411764705882,"AL","Scenic Hill",5,5,1,0.108210526315789,0.0382352941176471,0.469411764705882
"16",1,0.113188854489164,0,0.497647058823529,"AL","Muddy Creek",5,5,1,0.113188854489164,0,0.497647058823529
"17",5,0.101969040247678,0,0.445378151260504,"AL","Dawes",5,5,1,0.101969040247678,0,0.445378151260504
"18",4,0.107504643962848,0.217647058823529,0.490588235294118,"AL","Carlen",5,5,1,0.107504643962848,0.217647058823529,0.490588235294118
"19",5,0.0942167182662539,0,0.370843989769821,"AL","Rochon",5,5,1,0.0942167182662539,0,0.370843989769821
