"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",4,0.359578947368421,0.034,0.271111111111111,"AL","Sheldon",1,1,1,0.359578947368421,0.034,0.271111111111111
"2",2,0.396757894736842,0.014,0.228571428571429,"AL","Venetia",1,1,1,0.396757894736842,0.014,0.228571428571429
"3",4,0.359368421052632,0.012,0.28,"AL","Warwick",1,1,1,0.359368421052632,0.012,0.28
"4",4,0.366063157894737,0.014,0.2512,"AL","Park Place",1,1,1,0.366063157894737,0.014,0.2512
"5",4,0.367157894736842,0.038,0.28,"AL","Columbia",1,1,1,0.367157894736842,0.038,0.28
"6",2,0.380210526315789,0.1,0.2816,"AL","Brookwood",1,1,1,0.380210526315789,0.1,0.2816
"7",4,0.375031578947368,0.03,0.3072,"AL","Jackson Heights",1,1,1,0.375031578947368,0.03,0.3072
"8",2,0.405473684210526,0.106,0.284395604395604,"AL","South Crichton",1,1,1,0.405473684210526,0.106,0.284395604395604
"9",2,0.406863157894737,0.112,0.321666666666667,"AL","Fisher",1,1,1,0.406863157894737,0.112,0.321666666666667
"10",4,0.383031578947368,0.022,0.2464,"AL","Rothfield",1,1,1,0.383031578947368,0.022,0.2464
"11",4,0.363157894736842,0.038,0.3032,"AL","Berkleigh",1,1,1,0.363157894736842,0.038,0.3032
"12",5,0.397852631578947,0.036,0.328,"AL","Navco",1,1,1,0.397852631578947,0.036,0.328
"13",4,0.384,0.004,0.3112,"AL","Devonshire",1,1,1,0.384,0.004,0.3112
"14",4,0.326105263157895,0.028,0.26046511627907,"AL","Di Grado",1,1,1,0.326105263157895,0.028,0.26046511627907
"15",4,0.367915789473684,0.026,0.3192,"AL","Scenic Hill",1,1,1,0.367915789473684,0.026,0.3192
"16",7,0.384842105263158,0,0.3384,"AL","Muddy Creek",1,1,1,0.384842105263158,0,0.3384
"17",7,0.346694736842105,0,0.302857142857143,"AL","Dawes",1,1,1,0.346694736842105,0,0.302857142857143
"18",5,0.365515789473684,0.148,0.3336,"AL","Carlen",1,1,1,0.365515789473684,0.148,0.3336
"19",7,0.320336842105263,0,0.252173913043478,"AL","Rochon",1,1,1,0.320336842105263,0,0.252173913043478
"20",5,0.368884210526316,0.006,0.328,"AL","Belmeade",1,1,1,0.368884210526316,0.006,0.328
"21",4,0.363326315789474,0.022,0.254285714285714,"AL","Rolling Acres",1,1,1,0.363326315789474,0.022,0.254285714285714
"22",4,0.407242105263158,0.03,0.3,"AL","Plateau",1,1,1,0.407242105263158,0.03,0.3
"23",4,0.378484210526316,0.016,0.3216,"AL","Overlook",1,1,1,0.378484210526316,0.016,0.3216
"24",5,0.399157894736842,0.046,0.336,"AL","Woodlawn",1,1,1,0.399157894736842,0.046,0.336
"25",4,0.3824,0.004,0.287272727272727,"AL","Jefferson",1,1,1,0.3824,0.004,0.287272727272727
"26",4,0.382147368421053,0.008,0.3056,"AL","Melrose",1,1,1,0.382147368421053,0.008,0.3056
"27",5,0.406652631578947,0.06,0.328,"AL","Neely",1,1,1,0.406652631578947,0.06,0.328
"28",9,0.298821052631579,0.11,0,"AL","College Park",1,1,1,0.298821052631579,0.11,0
"29",4,0.252294736842105,0.018,0.3176,"AL","Country Club",1,1,1,0.252294736842105,0.018,0.3176
"30",5,0.379663157894737,0.08,0.3296,"AL","Airmont",1,1,1,0.379663157894737,0.08,0.3296
"31",5,0.403326315789474,0.036,0.3392,"AL","Maryvale",1,1,1,0.403326315789474,0.036,0.3392
"32",5,0.385178947368421,0.006,0.3384,"AL","Bellmont",1,1,1,0.385178947368421,0.006,0.3384
"33",9,0.363115789473684,0.046,0,"AL","Claremont",1,1,1,0.363115789473684,0.046,0
"34",4,0.360168421052632,0.016,0.283636363636364,"AL","Cottage Park",1,1,1,0.360168421052632,0.016,0.283636363636364
"35",2,0.388294736842105,0.104,0.28,"AL","Dauphin Acres",1,1,1,0.388294736842105,0.104,0.28
"36",5,0.387536842105263,0.056,0.3328,"AL","Texas Street",1,1,1,0.387536842105263,0.056,0.3328
"37",5,0.344673684210526,0.048,0.3304,"AL","Thornhill",1,1,1,0.344673684210526,0.048,0.3304
"38",2,0.369263157894737,0.136,0.3,"AL","Lyons Park",1,1,1,0.369263157894737,0.136,0.3
"39",2,0.402863157894737,0.066,0.3248,"AL","Riviera",1,1,1,0.402863157894737,0.066,0.3248
"40",5,0.372842105263158,0.016,0.3288,"AL","Baker",1,1,1,0.372842105263158,0.016,0.3288
"41",5,0.330989473684211,0.008,0.3352,"AL","Overton",1,1,1,0.330989473684211,0.008,0.3352
"42",4,0.375284210526316,0.006,0.2536,"AL","Westfield",1,1,1,0.375284210526316,0.006,0.2536
"43",7,0.394147368421053,0.002,0.283389830508475,"AL","Beau Terra",1,1,1,0.394147368421053,0.002,0.283389830508475
"44",4,0.365684210526316,0.004,0.3104,"AL","Milkhouse",1,1,1,0.365684210526316,0.004,0.3104
"45",5,0.403536842105263,0.072,0.3304,"AL","Carver",1,1,1,0.403536842105263,0.072,0.3304
"46",5,0.343242105263158,0.018,0.3304,"AL","Second Creek",1,1,1,0.343242105263158,0.018,0.3304
"47",7,0.355452631578947,0,0.3296,"AL","Travis",1,1,1,0.355452631578947,0,0.3296
"48",2,0.405515789473684,0.108,0.3224,"AL","Owens",1,1,1,0.405515789473684,0.108,0.3224
"49",7,0.370273684210526,0,0.3216,"AL","Redstone",1,1,1,0.370273684210526,0,0.3216
"50",2,0.390147368421053,0.11,0.287333333333333,"AL","Leinkauf",1,1,1,0.390147368421053,0.11,0.287333333333333
"51",2,0.402568421052632,0.114,0.287423822714681,"AL","Oakleigh",1,1,1,0.402568421052632,0.114,0.287423822714681
"52",4,0.390231578947368,0.004,0.2808,"AL","Riverside",1,1,1,0.390231578947368,0.004,0.2808
"53",2,0.375494736842105,0.066,0.262222222222222,"AL","Kimberline",1,1,1,0.375494736842105,0.066,0.262222222222222
"54",5,0.390652631578947,0.058,0.3392,"AL","Neshota",1,1,1,0.390652631578947,0.058,0.3392
"55",7,0.363452631578947,0,0.2608,"AL","Cypress Shores",1,1,1,0.363452631578947,0,0.2608
"56",2,0.368,0.056,0.292,"AL","Westhill",1,1,1,0.368,0.056,0.292
