"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",4,0.528792569659443,0.05,0.0797385620915033,"AL","Sheldon",1,5,5,0.528792569659443,0.05,0.0797385620915033
"2",8,0.583467492260062,0.0205882352941177,0.0672268907563025,"AL","Venetia",1,5,5,0.583467492260062,0.0205882352941177,0.0672268907563025
"3",8,0.528482972136223,0.0176470588235294,0.0823529411764706,"AL","Warwick",1,5,5,0.528482972136223,0.0176470588235294,0.0823529411764706
"4",8,0.538328173374613,0.0205882352941177,0.0738823529411765,"AL","Park Place",1,5,5,0.538328173374613,0.0205882352941177,0.0738823529411765
"5",4,0.539938080495356,0.0558823529411765,0.0823529411764706,"AL","Columbia",1,5,5,0.539938080495356,0.0558823529411765,0.0823529411764706
"6",5,0.559133126934985,0.147058823529412,0.0828235294117647,"AL","Brookwood",1,5,5,0.559133126934985,0.147058823529412,0.0828235294117647
"7",8,0.551517027863777,0.0441176470588235,0.0903529411764706,"AL","Jackson Heights",1,5,5,0.551517027863777,0.0441176470588235,0.0903529411764706
"8",5,0.596284829721362,0.155882352941176,0.0836457659987072,"AL","South Crichton",1,5,5,0.596284829721362,0.155882352941176,0.0836457659987072
"9",5,0.598328173374613,0.164705882352941,0.0946078431372549,"AL","Fisher",1,5,5,0.598328173374613,0.164705882352941,0.0946078431372549
"10",8,0.56328173374613,0.0323529411764706,0.0724705882352941,"AL","Rothfield",1,5,5,0.56328173374613,0.0323529411764706,0.0724705882352941
"11",4,0.53405572755418,0.0558823529411765,0.0891764705882353,"AL","Berkleigh",1,5,5,0.53405572755418,0.0558823529411765,0.0891764705882353
"12",7,0.585077399380805,0.0529411764705882,0.0964705882352941,"AL","Navco",1,5,5,0.585077399380805,0.0529411764705882,0.0964705882352941
"13",8,0.564705882352941,0.00588235294117647,0.0915294117647059,"AL","Devonshire",1,5,5,0.564705882352941,0.00588235294117647,0.0915294117647059
"14",8,0.479566563467492,0.0411764705882353,0.0766073871409029,"AL","Di Grado",1,5,5,0.479566563467492,0.0411764705882353,0.0766073871409029
"15",8,0.541052631578947,0.0382352941176471,0.0938823529411765,"AL","Scenic Hill",1,5,5,0.541052631578947,0.0382352941176471,0.0938823529411765
"16",7,0.56594427244582,0,0.0995294117647059,"AL","Muddy Creek",1,5,5,0.56594427244582,0,0.0995294117647059
"17",8,0.50984520123839,0,0.0890756302521008,"AL","Dawes",1,5,5,0.50984520123839,0,0.0890756302521008
"18",7,0.537523219814241,0.217647058823529,0.0981176470588235,"AL","Carlen",1,5,5,0.537523219814241,0.217647058823529,0.0981176470588235
"19",8,0.471083591331269,0,0.0741687979539642,"AL","Rochon",1,5,5,0.471083591331269,0,0.0741687979539642
"20",8,0.542476780185759,0.00882352941176471,0.0964705882352941,"AL","Belmeade",1,5,5,0.542476780185759,0.00882352941176471,0.0964705882352941
"21",8,0.534303405572755,0.0323529411764706,0.0747899159663866,"AL","Rolling Acres",1,5,5,0.534303405572755,0.0323529411764706,0.0747899159663866
"22",5,0.598885448916409,0.0441176470588235,0.0882352941176471,"AL","Plateau",1,5,5,0.598885448916409,0.0441176470588235,0.0882352941176471
"23",8,0.556594427244582,0.0235294117647059,0.0945882352941177,"AL","Overlook",1,5,5,0.556594427244582,0.0235294117647059,0.0945882352941177
"24",7,0.586996904024768,0.0676470588235294,0.0988235294117647,"AL","Woodlawn",1,5,5,0.586996904024768,0.0676470588235294,0.0988235294117647
