"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",2,0.123143475126172,0.104794520547945,0.167123287671233,"AL","Sheldon",9,1,5,0.123143475126172,0.104794520547945,0.167123287671233
"2",8,0.135875991348234,0.0431506849315069,0.140900195694716,"AL","Venetia",9,1,5,0.135875991348234,0.0431506849315069,0.140900195694716
"3",2,0.123071377072819,0.036986301369863,0.172602739726027,"AL","Warwick",9,1,5,0.123071377072819,0.036986301369863,0.172602739726027
"4",2,0.12536409516943,0.0431506849315069,0.154849315068493,"AL","Park Place",9,1,5,0.12536409516943,0.0431506849315069,0.154849315068493
"5",2,0.125739005046864,0.117123287671233,0.172602739726027,"AL","Columbia",9,1,5,0.125739005046864,0.117123287671233,0.172602739726027
"6",5,0.130209084354722,0.308219178082192,0.17358904109589,"AL","Brookwood",9,1,5,0.130209084354722,0.308219178082192,0.17358904109589
"7",2,0.128435472242249,0.0924657534246575,0.189369863013699,"AL","Jackson Heights",9,1,5,0.128435472242249,0.0924657534246575,0.189369863013699
"8",8,0.13886085075703,0.326712328767123,0.175312358874003,"AL","South Crichton",9,1,5,0.13886085075703,0.326712328767123,0.175312358874003
"9",8,0.139336697909156,0.345205479452055,0.198287671232877,"AL","Fisher",9,1,5,0.139336697909156,0.345205479452055,0.198287671232877
"10",2,0.131175198269647,0.0678082191780822,0.151890410958904,"AL","Rothfield",9,1,5,0.131175198269647,0.0678082191780822,0.151890410958904
"11",2,0.124369142033165,0.117123287671233,0.186904109589041,"AL","Berkleigh",9,1,5,0.124369142033165,0.117123287671233,0.186904109589041
"12",6,0.136250901225667,0.110958904109589,0.202191780821918,"AL","Navco",9,1,5,0.136250901225667,0.110958904109589,0.202191780821918
"13",7,0.131506849315068,0.0123287671232877,0.191835616438356,"AL","Devonshire",9,1,5,0.131506849315068,0.0123287671232877,0.191835616438356
"14",2,0.111679884643115,0.0863013698630137,0.160560688117235,"AL","Di Grado",9,1,5,0.111679884643115,0.0863013698630137,0.160560688117235
"15",2,0.125998558038933,0.0801369863013699,0.196767123287671,"AL","Scenic Hill",9,1,5,0.125998558038933,0.0801369863013699,0.196767123287671
"16",7,0.131795241528479,0,0.208602739726027,"AL","Muddy Creek",9,1,5,0.131795241528479,0,0.208602739726027
"17",7,0.118731074260995,0,0.186692759295499,"AL","Dawes",9,1,5,0.118731074260995,0,0.186692759295499
"18",6,0.125176640230714,0.456164383561644,0.205643835616438,"AL","Carlen",9,1,5,0.125176640230714,0.456164383561644,0.205643835616438
"19",7,0.109704397981255,0,0.155449672424062,"AL","Rochon",9,1,5,0.109704397981255,0,0.155449672424062
"20",6,0.126330209084355,0.0184931506849315,0.202191780821918,"AL","Belmeade",9,1,5,0.126330209084355,0.0184931506849315,0.202191780821918
"21",2,0.124426820475847,0.0678082191780822,0.156751467710372,"AL","Rolling Acres",9,1,5,0.124426820475847,0.0678082191780822,0.156751467710372
