"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",3,0.557967332123412,0.0527586206896552,0.0467432950191571,"AL","Sheldon",1,1,9,0.557967332123412,0.0527586206896552,0.0467432950191571
"2",3,0.615658802177859,0.0217241379310345,0.0394088669950739,"AL","Venetia",1,1,9,0.615658802177859,0.0217241379310345,0.0394088669950739
"3",3,0.557640653357532,0.0186206896551724,0.0482758620689655,"AL","Warwick",1,1,9,0.557640653357532,0.0186206896551724,0.0482758620689655
"4",3,0.568029038112523,0.0217241379310345,0.0433103448275862,"AL","Park Place",1,1,9,0.568029038112523,0.0217241379310345,0.0433103448275862
"5",5,0.5697277676951,0.0589655172413793,0.0482758620689655,"AL","Columbia",1,1,9,0.5697277676951,0.0589655172413793,0.0482758620689655
"6",6,0.589981851179673,0.155172413793103,0.048551724137931,"AL","Brookwood",1,1,9,0.589981851179673,0.155172413793103,0.048551724137931
"7",3,0.58194555353902,0.046551724137931,0.0529655172413793,"AL","Jackson Heights",1,1,9,0.58194555353902,0.046551724137931,0.0529655172413793
"8",6,0.629183303085299,0.16448275862069,0.0490337248957939,"AL","South Crichton",1,1,9,0.629183303085299,0.16448275862069,0.0490337248957939
"9",6,0.631339382940109,0.173793103448276,0.0554597701149425,"AL","Fisher",1,1,9,0.631339382940109,0.173793103448276,0.0554597701149425
"10",3,0.594359346642468,0.0341379310344828,0.0424827586206897,"AL","Rothfield",1,1,9,0.594359346642468,0.0341379310344828,0.0424827586206897
"11",5,0.563520871143376,0.0589655172413793,0.0522758620689655,"AL","Berkleigh",1,1,9,0.563520871143376,0.0589655172413793,0.0522758620689655
"12",7,0.617357531760436,0.0558620689655172,0.056551724137931,"AL","Navco",1,1,9,0.617357531760436,0.0558620689655172,0.056551724137931
"13",3,0.595862068965517,0.00620689655172414,0.0536551724137931,"AL","Devonshire",1,1,9,0.595862068965517,0.00620689655172414,0.0536551724137931
"14",3,0.506025408348457,0.043448275862069,0.0449077786688051,"AL","Di Grado",1,1,9,0.506025408348457,0.043448275862069,0.0449077786688051
"15",3,0.570903811252269,0.0403448275862069,0.0550344827586207,"AL","Scenic Hill",1,1,9,0.570903811252269,0.0403448275862069,0.0550344827586207
"16",7,0.597168784029038,0,0.0583448275862069,"AL","Muddy Creek",1,1,9,0.597168784029038,0,0.0583448275862069
"17",3,0.537974591651543,0,0.0522167487684729,"AL","Dawes",1,1,9,0.537974591651543,0,0.0522167487684729
"18",7,0.567179673321234,0.229655172413793,0.0575172413793103,"AL","Carlen",1,1,9,0.567179673321234,0.229655172413793,0.0575172413793103
"19",3,0.497074410163339,0,0.0434782608695652,"AL","Rochon",1,1,9,0.497074410163339,0,0.0434782608695652
"20",7,0.572406533575318,0.00931034482758621,0.056551724137931,"AL","Belmeade",1,1,9,0.572406533575318,0.00931034482758621,0.056551724137931
"21",3,0.56378221415608,0.0341379310344828,0.0438423645320197,"AL","Rolling Acres",1,1,9,0.56378221415608,0.0341379310344828,0.0438423645320197
"22",6,0.631927404718693,0.046551724137931,0.0517241379310345,"AL","Plateau",1,1,9,0.631927404718693,0.046551724137931,0.0517241379310345
"23",3,0.587303085299456,0.0248275862068966,0.055448275862069,"AL","Overlook",1,1,9,0.587303085299456,0.0248275862068966,0.055448275862069
"24",7,0.619382940108893,0.0713793103448276,0.0579310344827586,"AL","Woodlawn",1,1,9,0.619382940108893,0.0713793103448276,0.0579310344827586
"25",3,0.593379310344828,0.00620689655172414,0.0495297805642633,"AL","Jefferson",1,1,9,0.593379310344828,0.00620689655172414,0.0495297805642633
"26",3,0.592987295825771,0.0124137931034483,0.0526896551724138,"AL","Melrose",1,1,9,0.592987295825771,0.0124137931034483,0.0526896551724138
"27",7,0.631012704174229,0.0931034482758621,0.056551724137931,"AL","Neely",1,1,9,0.631012704174229,0.0931034482758621,0.056551724137931
"28",8,0.463687840290381,0.170689655172414,0,"AL","College Park",1,1,9,0.463687840290381,0.170689655172414,0
"29",1,0.391491833030853,0.0279310344827586,0.0547586206896552,"AL","Country Club",1,1,9,0.391491833030853,0.0279310344827586,0.0547586206896552
"30",7,0.589132486388385,0.124137931034483,0.0568275862068966,"AL","Airmont",1,1,9,0.589132486388385,0.124137931034483,0.0568275862068966
"31",7,0.625851179673321,0.0558620689655172,0.0584827586206897,"AL","Maryvale",1,1,9,0.625851179673321,0.0558620689655172,0.0584827586206897
"32",7,0.597691470054446,0.00931034482758621,0.0583448275862069,"AL","Bellmont",1,1,9,0.597691470054446,0.00931034482758621,0.0583448275862069
"33",8,0.5634555353902,0.0713793103448276,0,"AL","Claremont",1,1,9,0.5634555353902,0.0713793103448276,0
"34",3,0.558882032667877,0.0248275862068966,0.0489028213166144,"AL","Cottage Park",1,1,9,0.558882032667877,0.0248275862068966,0.0489028213166144
"35",6,0.602526315789474,0.161379310344828,0.0482758620689655,"AL","Dauphin Acres",1,1,9,0.602526315789474,0.161379310344828,0.0482758620689655
"36",7,0.601350272232305,0.0868965517241379,0.0573793103448276,"AL","Texas Street",1,1,9,0.601350272232305,0.0868965517241379,0.0573793103448276
"37",7,0.534838475499093,0.0744827586206896,0.0569655172413793,"AL","Thornhill",1,1,9,0.534838475499093,0.0744827586206896,0.0569655172413793
"38",6,0.572994555353902,0.211034482758621,0.0517241379310345,"AL","Lyons Park",1,1,9,0.572994555353902,0.211034482758621,0.0517241379310345
"39",6,0.625132486388385,0.102413793103448,0.056,"AL","Riviera",1,1,9,0.625132486388385,0.102413793103448,0.056
"40",7,0.578548094373866,0.0248275862068966,0.0566896551724138,"AL","Baker",1,1,9,0.578548094373866,0.0248275862068966,0.0566896551724138
"41",7,0.513604355716878,0.0124137931034483,0.0577931034482759,"AL","Overton",1,1,9,0.513604355716878,0.0124137931034483,0.0577931034482759
"42",3,0.582337568058076,0.00931034482758621,0.0437241379310345,"AL","Westfield",1,1,9,0.582337568058076,0.00931034482758621,0.0437241379310345
"43",3,0.611607985480944,0.00310344827586207,0.0488603156049094,"AL","Beau Terra",1,1,9,0.611607985480944,0.00310344827586207,0.0488603156049094
"44",3,0.567441016333938,0.00620689655172414,0.0535172413793103,"AL","Milkhouse",1,1,9,0.567441016333938,0.00620689655172414,0.0535172413793103
"45",7,0.626177858439201,0.111724137931034,0.0569655172413793,"AL","Carver",1,1,9,0.626177858439201,0.111724137931034,0.0569655172413793
"46",7,0.532617059891107,0.0279310344827586,0.0569655172413793,"AL","Second Creek",1,1,9,0.532617059891107,0.0279310344827586,0.0569655172413793
"47",7,0.55156442831216,0,0.0568275862068966,"AL","Travis",1,1,9,0.55156442831216,0,0.0568275862068966
"48",6,0.629248638838476,0.167586206896552,0.0555862068965517,"AL","Owens",1,1,9,0.629248638838476,0.167586206896552,0.0555862068965517
"49",3,0.574562613430127,0,0.055448275862069,"AL","Redstone",1,1,9,0.574562613430127,0,0.055448275862069
"50",6,0.60540108892922,0.170689655172414,0.0495402298850575,"AL","Leinkauf",1,1,9,0.60540108892922,0.170689655172414,0.0495402298850575
"51",6,0.624675136116152,0.176896551724138,0.0495558315025313,"AL","Oakleigh",1,1,9,0.624675136116152,0.176896551724138,0.0495558315025313
"52",3,0.605531760435572,0.00620689655172414,0.0484137931034483,"AL","Riverside",1,1,9,0.605531760435572,0.00620689655172414,0.0484137931034483
"53",6,0.582664246823956,0.102413793103448,0.0452107279693487,"AL","Kimberline",1,1,9,0.582664246823956,0.102413793103448,0.0452107279693487
"54",7,0.606185117967332,0.09,0.0584827586206897,"AL","Neshota",1,1,9,0.606185117967332,0.09,0.0584827586206897
"55",3,0.563978221415608,0,0.0449655172413793,"AL","Cypress Shores",1,1,9,0.563978221415608,0,0.0449655172413793
